"Row-names","Symbol","LB-Bile___log2FoldChange","LB-Bile___padj","data","LB_Rep1","LB_Rep2","Bile_Rep1","Bile_Rep2"
"VP1247",NA,0.458379911182278,0.538083120237431," ",14.2141848372668,14.4354964874115,13.7371172576264,13.9925280163711
"VP1248",NA,-0.160181947005389,0.937976204626558," ",9.34974354020274,9.24342519027812,9.40359663136154,9.50730903666135
"VP1249",NA,-0.264135315378608,0.884043979040614," ",12.6934369002342,12.2724272041364,12.8373682653437,12.6847574591405
"VP1250",NA,-0.327013577730326,0.745160890949943," ",13.0267994372998,13.0344663399292,13.2404563374053,13.4651476326611
"VP1251",NA,0.106520929355148,0.967276116330452," ",14.6054041789162,14.0801283605869,14.4894919106484,13.9879700239761
"VP1252",NA,0.027890522643485,0.987914580819334," ",8.70322009378878,9.24791091771393,8.81455042993924,9.0949123071622
"VP1253",NA,0.0716443567189463,0.978876071839256," ",9.90922784227433,10.5313891696732,9.87380313360173,10.425611727071
"VP1254",NA,-0.185336937721903,0.924730517577045," ",12.4841086715926,12.4830464338937,12.5874974746192,12.7450106865993
"VP1255",NA,0.118357663693278,0.95410830141783," ",10.5533209894628,10.8532733898782,10.4159596578888,10.7435838573207
"VP1256",NA,-1.14495155410975,0.113652857579321," ",10.4346735950239,10.4978850623842,12.0725396206942,10.9287691021057
"VP1257",NA,0.0208484062939628,0.988381637217289," ",11.1421636749262,11.3142620770831,11.090376187938,11.3165589786309
"VP1258",NA,-0.107286694062065,0.96844846513008," ",15.1851029344608,14.6200520223254,15.2949844799655,14.7240470420133
"VP1259",NA,-0.0498951168639185,0.979523538038763," ",12.0889150402138,11.8634533495808,12.1590492573354,11.8922551257331
"VP1260",NA,0.638548989544913,0.183343726799477," ",10.2264364123581,10.3513367177078,9.61999468982414,9.68330927568224
"VP1261",NA,1.03185383153811,0.123169029387502," ",10.2419030901605,10.8458947595195,9.13558719736724,9.85409271546232
"VP1262",NA,0.574980050002958,0.319395856960904," ",8.95974208814353,8.92835375454026,8.38981635885741,8.36323353466997
"VP1263",NA,0.271464761887003,0.937976204626558," ",13.5277003890045,12.8736052423653,13.3955863778881,12.3544937804242
"VP1264",NA,-0.421259411367301,0.884043979040614," ",11.0193678922426,9.91115061525185,11.3227162008408,10.5663130821836
"VP1265",NA,-0.315905772598516,0.781934433043718," ",9.38934635178712,9.39672194954665,9.59099800527535,9.80789349117173
"VP1266",NA,-0.0628323918500761,0.976551555510737," ",11.2034363594827,11.3584902989326,11.1578409501705,11.507976918397
"VP1267",NA,0.197311033916678,0.92518518280132," ",14.0221562189209,13.6990731108487,13.6363508286322,13.7078033874873
"VP1268",NA,0.286807336741886,0.870732350256672," ",12.4087057498404,12.516428196257,11.9157242654305,12.3958426890757
"VP1269",NA,0.0525187747812457,0.978346619012247," ",12.1407575276482,12.1797991180694,12.0933664471716,12.1219441451083
"VP1270",NA,0.623970435415179,0.668156968535988," ",14.6800434750909,15.4473611864652,13.9547542973868,14.879448181413
"VP1271",NA,0.53158867957097,0.471715028814493," ",11.0627425150964,11.3142620770831,10.4620618951695,10.8338802115756
"VP1272",NA,1.18728402616961,0.00469571915545691," ",14.6705202475475,14.5232259224088,13.1255149871135,13.6497203478447
"VP1273",NA,0.216079030680052,0.92040750360757," ",9.98815692010622,10.2318795107899,9.97453334418486,9.82135754093722
"VP1274",NA,0.0979546588013071,0.96844846513008," ",10.1618402262439,10.5460337297766,10.483257620698,10.0212672650355
"VP1275",NA,0.13643482637299,0.953197059654945," ",7.9782283618325,8.08757897581823,7.93122410747401,7.86657934621034
"VP1276",NA,-0.0234826358415657,0.988381637217289," ",7.7592612439031,7.91780315936138,7.97677095302006,7.75214361751944
"VP1277",NA,0.193694737887411,0.940090422294281," ",8.99325667563514,9.65157328726266,9.15552959266355,9.16616526164042
"VP1278",NA,-0.0388273195826615,0.985832788451983," ",10.7503703953906,10.8280305368713,11.2112183223219,10.3151856038973
"VP1279",NA,0.596000341303426,0.743752697993535," ",11.1187930067078,12.259711862236,10.7815683243417,11.5264698580229
"VP1280",NA,-0.369188885277014,0.786452987933231," ",17.5185994442978,16.9149648520852,17.6085324369998,17.6260800230085
"VP1281",NA,-0.304548140188737,0.898746979328347," ",17.2807522083021,16.4345942170216,17.2504874784036,17.1958315638314
"VP1282",NA,-0.357739420959397,0.888358139057929," ",17.2332049172204,16.2081745409189,17.217863238752,17.1156156317832
"VP1283",NA,-0.428800369622623,0.697731591350523," ",9.95393541860982,10.0226805956256,10.1270853685394,10.6490341591915
"VP1284",NA,-0.344301833822051,0.767828219328197," ",9.65355036719627,9.79027076866117,9.88579126857809,10.2173320394608
"VP1285",NA,0.0931405820320611,0.965606076465361," ",11.9511831553224,12.1465519848432,11.7309275163037,12.1532839141668
"VP1286",NA,0.21135303705622,0.937976204626558," ",8.85802610178673,9.3845513175125,8.61775765605925,9.17235926918787
"VP1287",NA,0.209239857881169,0.935754128396145," ",7.86542528197385,8.22132896182656,7.66055852142162,7.97543789759993
"VP1288",NA,0.151712671355938,0.953309967520926," ",8.76741645648063,9.23892547199497,8.68333202321345,9.0158290623497
"VP1289",NA,0.920197382194697,0.0820541427219194," ",9.77147684035935,10.1016308052122,8.77212335258918,9.23169339727786
"VP1290",NA,-0.104319798480819,0.960224894644513," ",15.1275576710053,14.6734455899569,15.0556446086252,14.9890869432155
"VP1291",NA,-0.21386103124184,0.937976204626558," ",16.1527476475883,15.4533821505052,16.2136221940218,15.8857748219616
"VP1292",NA,-0.326466625272151,0.924115522526777," ",6.67321329022523,6.13055481093104,7.09897030264943,6.41904579626045
"VP1293",NA,0.490081706313965,0.662171714940811," ",7.45197854550721,7.32787313101847,6.76000301123816,7.02854983010382
"VP1294",NA,0.235955665809537,0.888358139057929," ",12.0277696125408,12.315267337591,11.9664668366244,11.9181025987116
"VP1295",NA,-0.32985648561292,0.81141250771019," ",12.352708446242,12.8461323155631,12.9610317769822,12.9378623561229
"VP1296",NA,0.0506786771372128,0.978346619012247," ",11.132342198682,11.122398830547,11.0358309634249,11.1155440183898
"VP1297",NA,-0.0896946992058381,0.978346619012247," ",12.5673219373632,11.8406186509018,12.757522191456,11.751240383834
"VP1298",NA,0.0391861006081156,0.985622745423955," ",13.8596603024681,14.3494088094082,14.376502178227,13.7223354240702
"VP1299",NA,0.20222478831092,0.930146962021801," ",12.8018459962356,12.4901635596715,12.3060606296944,12.5847426819529
"VP1300",NA,0.395867018651487,0.638154443219874," ",12.2480510272003,12.0361268663685,11.6984439308916,11.8008595194857
"VP1301",NA,-0.448598536103682,0.485950329489723," ",12.2815281672001,12.1638648729298,12.6051283631415,12.7361524746994
"VP1302",NA,0.187997742101371,0.969232544490428," ",14.5175616445532,13.0582858442096,14.435972560011,12.5316477062264
"VP1303",NA,0.407682602769043,0.787563118837851," ",9.37976558518419,9.92802051287861,9.00244987403209,9.48558562064416
"VP1304",NA,0.0621785883099369,0.975520355574818," ",12.057710670582,11.9609355010771,11.9560811211431,11.9405949029748
"VP1305",NA,-0.145498049446242,0.937976204626558," ",11.2002234560702,11.1113635539291,11.2441854960071,11.356547610876
"VP1306",NA,-0.17291437467483,0.931671641767307," ",10.8980102434392,10.7900874216412,11.0304412830578,11.0064039330712
"VP1307",NA,-0.265279799621613,0.828307284619746," ",11.0396980254291,11.096517307658,11.3285836086934,11.337105430704
"VP1308",NA,0.043951018470732,0.979890170850803," ",12.6583861625028,12.6793067003921,12.6821913298266,12.5659280953514
"VP1309",NA,0.213322828277499,0.920599861091708," ",9.59528638397163,9.61384189296457,9.52098276225113,9.26221307871598
"VP1310",NA,0.514473464357282,0.520837996253392," ",13.348979850549,13.1247306475492,12.9353072426082,12.4856306452822
"VP1311",NA,0.0700946012780605,0.976875047699267," ",10.2591071770539,9.84162633376332,10.1799696075735,9.79911401991285
"VP1312",NA,-0.453212141218729,0.721762146535075," ",9.56101490304062,8.90013324383728,9.75683135267431,9.69454264287339
"VP1313",NA,-0.0999665281649305,0.957495423197605," ",13.1627680582368,12.9094404756006,13.0978684245105,13.1843335054368
"VP1314",NA,-0.399957379347915,0.685332734289814," ",10.5377406109023,10.7431978545099,10.8646799642105,11.1964857938206
"VP1315",NA,-0.0733882783926694,0.976748732766989," ",9.2210386484085,9.84162633376332,9.6007284666184,9.66145767066419
"VP1316",NA,0.660524224585019,0.475421647637233," ",9.72751796104227,9.58221946939284,9.35842629384954,8.55747748657175
"VP1317",NA,0.394220705800035,0.745160890949943," ",8.18439825702456,8.05723072105319,7.56438530665496,7.86657934621034
"VP1318",NA,0.280900537230319,0.914902985075141," ",7.14568591913804,6.96345795377915,6.61390382352261,6.91493385616602
"VP1319",NA,0.190016545191114,0.935754128396145," ",8.29973496278239,8.58264295845098,8.18514785297442,8.310292033849
"VP1320",NA,0.140920264018542,0.950238472578111," ",8.05246986022987,8.23946271016662,8.03534609191288,7.97826898197812
"VP1321",NA,0.119744751545154,0.956588656954948," ",8.49954124903753,8.81200026187216,8.70153285115499,8.37831580909427
